File;Segment;coef_variation;first_diff_max;first_diff_mean;kurtosis;power1;power2;power3;power4;ratio1;ratio2;ratio3;ratio4;sec_diff_max;sec_diff_mean;slopemean;slopevar;spec_entropy;w1;w2;w3;w4;w5;w6;w7;w8;welch1;welch2;welch3;welch4;labels_jules;Skewness;Mobility;Complexity
3;7;9.042898402;0.003544589;1.46E-05;57.58197567;23.6148575;13.25098265;8.458656741;14.74843335;0.39310314;0.220581593;0.140806462;0.245508805;0.002351147;1.14E-05;-1.41E-07;7.79E-09;0.820951745;-1.59E-05;0.000455281;-8.71E-09;3.97E-05;0.004195509;2.85E-05;-0.045097479;-0.000383446;3.05E-08;4.61E-09;1.30E-09;7.94E-10;1;-0.978136026;0.00155653;0.620973676
3;8;12.01121333;0.002421199;1.26E-05;64.02788719;30.35410481;25.34141904;22.74180658;19.19389916;0.31090569;0.259562633;0.23293578;0.196595897;0.000819428;1.02E-05;1.22E-07;7.55E-09;0.852767883;5.44E-06;0.000494816;-4.55E-09;3.40E-05;0.006162051;3.14E-05;-0.063546302;-0.000408409;4.01E-08;8.39E-09;4.45E-09;1.26E-09;1;-0.14388767;0.001250567;5.951335249
3;9;-1.640357151;0.006845834;5.04E-05;100.0551178;580.1081665;213.6575627;152.7213959;331.9750976;0.453754641;0.167120748;0.119457105;0.259667507;0.005863059;3.95E-05;5.12E-07;5.63E-08;0.783806278;0.000140409;0.001445009;1.08E-08;0.000133213;0.049964979;0.00026993;-0.490461173;-0.003460159;2.63E-07;4.57E-08;1.29E-08;8.09E-09;1;-1.80190736;0.00198931;0.146113263
3;10;2.733961714;0.005029861;4.24E-05;8.303020575;449.8610263;199.6505123;158.1279708;314.835509;0.400775981;0.17786633;0.140874379;0.28048331;0.003867857;3.30E-05;-5.32E-07;3.31E-08;0.811610174;0.000259458;0.001923907;-5.78E-09;9.37E-05;0.05859898;0.000134932;-0.605634723;-0.001823063;3.27E-07;4.25E-08;1.22E-08;4.51E-09;1;0.156173247;0.00082269;0.512995897
3;11;12.68014082;0.004943489;4.52E-05;13.2343351;38.01342839;20.38100388;20.47121398;45.46183378;0.305752424;0.163930001;0.164655585;0.36566199;0.003425248;3.52E-05;-3.46E-07;6.34E-08;0.822425283;9.07E-05;0.001768791;-1.70E-08;0.000106353;0.046289924;0.000268239;-0.474362364;-0.003296501;2.89E-07;4.68E-08;1.95E-08;6.53E-09;1;0.884206779;0.000937259;0.615630083
3;12;7.756872262;0.004154879;1.79E-05;89.66753545;149.9374635;45.57511595;26.94273633;50.56426483;0.549182089;0.166929844;0.098684264;0.185203804;0.002960782;1.47E-05;-3.42E-08;1.81E-08;0.726227616;5.06E-05;0.001019386;-2.34E-09;5.99E-05;0.02530632;7.80E-05;-0.249022976;-0.000980402;1.74E-07;2.79E-08;1.08E-08;3.66E-09;1;2.935434336;0.00131423;0.456264357
3;13;7.353763366;0.001867774;1.51E-05;19.05305635;12.56099773;4.241415813;4.38950439;7.554829804;0.436953698;0.147544197;0.152695687;0.262806418;0.000961281;1.12E-05;-1.79E-09;5.05E-09;0.796719903;-6.92E-07;0.000711144;-2.68E-09;2.31E-05;0.02220549;2.00E-05;-0.218014948;-0.000279431;1.58E-07;1.02E-08;3.70E-09;1.58E-09;1;0.332060951;0.000813628;5.564129463
3;14;-868.732666;0.002100007;1.31E-05;12.62405848;6.444830337;2.244608155;2.367687592;4.241697817;0.421263123;0.146717693;0.154762719;0.277256464;0.000958404;1.00E-05;-1.76E-07;8.49E-09;0.801647633;7.47E-06;0.000965044;-1.98E-09;3.05E-05;0.035238097;2.22E-05;-0.345788292;-0.000301227;1.47E-07;1.01E-08;6.56E-09;1.63E-09;1;-0.67430257;0.000850965;7.043310558
3;15;-50.15565748;0.004917624;7.92E-06;731.1378251;4.23695485;1.561534628;1.664578017;5.273885903;0.332650573;0.122598755;0.130688868;0.414061804;0.004658871;6.77E-06;-1.25E-08;1.81E-10;0.779458072;-3.59E-05;0.000451963;3.17E-10;3.16E-05;0.007033253;1.45E-05;-0.070978453;-0.000174823;1.35E-08;9.31E-10;1.92E-10;7.65E-11;1;2.594379863;0.001743097;4.359597626
3;16;9.010531064;0.004706192;7.85E-06;3422.976776;4.0828697;2.492461754;2.55602837;3.319846957;0.327909557;0.200178328;0.205283585;0.26662853;0.004490206;6.84E-06;1.20E-09;1.10E-10;0.848193904;-2.25E-05;9.11E-05;1.39E-07;2.74E-05;0.000334371;1.10E-05;-0.004841072;-0.000136284;2.28E-10;1.74E-10;1.51E-10;1.22E-10;1;20.49466928;0.003703067;1.881147087
3;17;19.75876762;0.001981942;8.32E-06;126.9071636;3.698281411;0.989935907;0.645635405;1.94811577;0.507868362;0.135943448;0.088662208;0.267525982;0.001110056;6.74E-06;-9.42E-08;6.98E-10;0.73500185;-3.75E-05;0.000359376;1.23E-10;1.36E-05;0.004638975;2.94E-06;-0.046940992;-4.52E-05;1.46E-08;9.23E-10;2.05E-10;7.85E-11;1;-4.727413884;0.00096923;4.401296608
3;18;53.86151876;0.001855206;1.06E-05;33.71502537;3.694798222;1.486003784;1.272420346;2.829443654;0.398032011;0.160083728;0.137074882;0.304809378;0.001226519;8.53E-06;-1.63E-07;3.35E-09;0.80431336;2.75E-06;0.000455141;4.61E-09;2.25E-05;0.006875487;1.19E-05;-0.069463507;-0.000164545;5.70E-08;5.38E-09;2.07E-09;9.62E-10;1;-1.617656731;0.000955308;4.681622871
3;19;38.09788024;0.002708003;1.08E-05;45.04281437;6.159449956;2.402727847;1.5603006;3.624769592;0.448049672;0.174778825;0.113499124;0.26367238;0.001266627;8.66E-06;-1.20E-07;2.71E-09;0.784764576;2.52E-06;0.000604974;1.56E-09;2.45E-05;0.010464698;1.16E-05;-0.103120002;-0.000160821;7.10E-08;5.99E-09;1.46E-09;8.95E-10;1;-1.758666554;0.000813196;4.645520084
4;1;-28.74900245;0.001524834;5.69E-06;242.5222474;32.50885958;24.01068983;8.192124432;12.83682273;0.419206832;0.309621603;0.105638727;0.165532838;0.000738593;4.57E-06;-6.51E-08;3.57E-10;0.784515293;2.14E-06;0.000255418;4.34E-10;1.21E-05;0.001108921;2.14E-06;-0.013472461;-3.42E-05;9.20E-09;2.06E-09;3.44E-10;8.95E-11;0;-6.292707812;0.000906909;1.642288017
4;2;7.409249915;0.000203127;4.69E-06;6.152689695;6.925251261;3.721288118;1.881149658;3.427773686;0.434036379;0.233229721;0.117900038;0.214833863;0.00015413;3.82E-06;-2.76E-09;4.34E-11;0.797936847;-2.46E-06;8.75E-05;7.46E-10;4.56E-06;0.000132155;2.55E-07;-0.002123046;-5.63E-06;6.78E-10;5.24E-10;7.29E-11;1.57E-11;0;-0.665559952;0.001231623;1.825485091
4;3;34.66461576;0.003649285;4.55E-06;3520.081208;5.887252183;1.80659897;1.633500578;3.270321323;0.467328542;0.143407355;0.12966685;0.259597253;0.003424119;4.14E-06;-2.00E-08;3.88E-11;0.7760441;8.32E-06;8.89E-05;1.46E-08;2.33E-05;9.91E-05;8.95E-06;-0.001537764;-0.000107914;2.80E-10;3.79E-11;2.82E-11;2.31E-11;1;6.73404368;0.003559189;0.980326783
4;4;-5.527253601;4.12E-05;4.27E-06;0.316036884;9.864377716;1.476357457;0.961474629;2.536155296;0.664788718;0.099495965;0.064796534;0.170918782;2.73E-05;3.57E-06;-1.95E-08;2.94E-11;0.6090822;2.98E-06;7.81E-05;1.20E-09;3.62E-06;9.11E-05;1.51E-07;-0.001592107;0;4.61E-10;1.69E-11;3.29E-12;2.29E-12;0;-0.024039605;0.001014141;6.308817777
4;5;-18.37417509;7.34E-05;4.45E-06;4.398225075;10.88767838;2.281069003;1.316074793;2.669843341;0.634677392;0.132970765;0.076718184;0.155633658;3.97E-05;3.65E-06;-1.69E-08;3.08E-11;0.648260153;-7.71E-07;0.000116813;-8.00E-10;3.71E-06;0.000222399;1.59E-07;-0.003580107;-3.82E-06;1.28E-09;4.93E-11;1.04E-11;2.95E-12;0;-0.069796189;0.000811603;5.063315535
4;6;61.75784307;0.000337439;4.60E-06;5.182772033;14.34495861;3.220073714;3.002519207;4.491265604;0.572451546;0.128500627;0.119818872;0.179228955;7.30E-05;3.77E-06;-1.49E-08;3.87E-11;0.711632845;2.50E-06;0.000115295;9.77E-10;4.32E-06;0.000212549;2.23E-07;-0.003454492;-4.97E-06;9.57E-10;8.42E-11;4.28E-11;1.78E-11;1;-0.611517654;0.000928313;8.37015025
4;7;-5.702675782;6.20E-05;4.39E-06;0.094982059;17.02427118;2.528988656;1.130288707;2.420436989;0.736854304;0.109461143;0.048921806;0.104762747;3.59E-05;3.61E-06;-1.67E-08;3.02E-11;0.528837924;-2.79E-06;0.000107437;1.24E-09;3.71E-06;0.000178019;1.59E-07;-0.002990485;-3.82E-06;8.30E-10;8.26E-11;4.44E-12;1.99E-12;1;-0.21154646;0.000841238;10.49563304
